,COUNTYFP,POP_EST_2019
0,0,328239523
1,1000,4903185
2,1001,55869
3,1003,223234
4,1005,24686
5,1007,22394
6,1009,57826
7,1011,10101
8,1013,19448
9,1015,113605
10,1017,33254
11,1019,26196
12,1021,44428
13,1023,12589
14,1025,23622
15,1027,13235
16,1029,14910
17,1031,52342
18,1033,55241
19,1035,12067
20,1037,10663
21,1039,37049
22,1041,13772
23,1043,83768
24,1045,49172
25,1047,37196
26,1049,71513
27,1051,81209
28,1053,36633
29,1055,102268
30,1057,16302
31,1059,31362
32,1061,26271
33,1063,8111
34,1065,14651
35,1067,17205
36,1069,105882
37,1071,51626
38,1073,658573
39,1075,13805
40,1077,92729
41,1079,32924
42,1081,164542
43,1083,98915
44,1085,9726
45,1087,18068
46,1089,372909
47,1091,18863
48,1093,29709
49,1095,96774
50,1097,413210
51,1099,20733
52,1101,226486
53,1103,119679
54,1105,8923
55,1107,19930
56,1109,33114
57,1111,22722
58,1113,57961
59,1115,89512
60,1117,217702
61,1119,12427
62,1121,79978
63,1123,40367
64,1125,209355
65,1127,63521
66,1129,16326
67,1131,10373
68,1133,23629
69,2000,731545
70,2013,3337
71,2016,5634
72,2020,288000
73,2050,18386
74,2060,836
75,2068,2097
76,2070,4916
77,2090,96849
78,2100,2530
79,2105,2148
80,2110,31974
81,2122,58708
82,2130,13901
83,2150,12998
84,2158,8314
85,2164,1592
86,2170,108317
87,2180,10004
88,2185,9832
89,2188,7621
90,2195,3266
91,2198,6203
92,2220,8493
93,2230,1183
94,2240,6893
95,2261,9202
96,2275,2502
97,2282,579
98,2290,5230
99,4000,7278717
100,4001,71887
101,4003,125922
102,4005,143476
103,4007,54018
104,4009,38837
105,4011,9498
106,4012,21108
107,4013,4485414
108,4015,212181
109,4017,110924
110,4019,1047279
111,4021,462789
112,4023,46498
113,4025,235099
114,4027,213787
115,5000,3017804
116,5001,17486
117,5003,19657
118,5005,41932
119,5007,279141
120,5009,37432
121,5011,10763
122,5013,5189
123,5015,28380
124,5017,10118
125,5019,22320
126,5021,14551
127,5023,24919
128,5025,7956
129,5027,23457
130,5029,20846
131,5031,110332
132,5033,63257
133,5035,47955
134,5037,16419
135,5039,7009
136,5041,11361
137,5043,18219
138,5045,126007
139,5047,17715
140,5049,12477
141,5051,99386
142,5053,18265
143,5055,45325
144,5057,21532
145,5059,33771
146,5061,13202
147,5063,37825
148,5065,13629
149,5067,16719
150,5069,66824
151,5071,26578
152,5073,6624
153,5075,16406
154,5077,8857
155,5079,13024
156,5081,12259
157,5083,21466
158,5085,73309
159,5087,16576
160,5089,16694
161,5091,43257
162,5093,40651
163,5095,6701
164,5097,8986
165,5099,8252
166,5101,7753
167,5103,23382
168,5105,10455
169,5107,17782
170,5109,10718
171,5111,23528
172,5113,19964
173,5115,64072
174,5117,8062
175,5119,391911
176,5121,17958
177,5123,24994
178,5125,122437
179,5127,10281
180,5129,7881
181,5131,127827
182,5133,17007
183,5135,17442
184,5137,12506
185,5139,38682
186,5141,16545
187,5143,239187
188,5145,78753
189,5147,6320
190,5149,21341
191,6000,39512223
192,6001,1671329
193,6003,1129
194,6005,39752
195,6007,219186
196,6009,45905
197,6011,21547
198,6013,1153526
199,6015,27812
200,6017,192843
201,6019,999101
202,6021,28393
203,6023,135558
204,6025,181215
205,6027,18039
206,6029,900202
207,6031,152940
208,6033,64386
209,6035,30573
210,6037,10039107
211,6039,157327
212,6041,258826
213,6043,17203
214,6045,86749
215,6047,277680
216,6049,8841
217,6051,14444
218,6053,434061
219,6055,137744
220,6057,99755
221,6059,3175692
222,6061,398329
223,6063,18807
224,6065,2470546
225,6067,1552058
226,6069,62808
227,6071,2180085
228,6073,3338330
229,6075,881549
230,6077,762148
231,6079,283111
232,6081,766573
233,6083,446499
234,6085,1927852
235,6087,273213
236,6089,180080
237,6091,3005
238,6093,43539
239,6095,447643
240,6097,494336
241,6099,550660
242,6101,96971
243,6103,65084
244,6105,12285
245,6107,466195
246,6109,54478
247,6111,846006
248,6113,220500
249,6115,78668
250,8000,5758736
251,8001,517421
252,8003,16233
253,8005,656590
254,8007,14029
255,8009,3581
256,8011,5577
257,8013,326196
258,8014,70465
259,8015,20356
260,8017,1831
261,8019,9700
262,8021,8205
263,8023,3887
264,8025,6061
265,8027,5068
266,8029,31162
267,8031,727211
268,8033,2055
269,8035,351154
270,8037,55127
271,8039,26729
272,8041,720403
273,8043,47839
274,8045,60061
275,8047,6243
276,8049,15734
277,8051,17462
278,8053,820
279,8055,6897
280,8057,1392
281,8059,582881
282,8061,1406
283,8063,7097
284,8065,8127
285,8067,56221
286,8069,356899
287,8071,14506
288,8073,5701
289,8075,22409
290,8077,154210
291,8079,769
292,8081,13283
293,8083,26183
294,8085,42758
295,8087,29068
296,8089,18278
297,8091,4952
298,8093,18845
299,8095,4265
300,8097,17767
301,8099,12172
302,8101,168424
303,8103,6324
304,8105,11267
305,8107,25638
306,8109,6824
307,8111,728
308,8113,8179
309,8115,2248
310,8117,31011
311,8119,25388
312,8121,4908
313,8123,324492
314,8125,10019
315,9000,3565287
316,9001,943332
317,9003,891720
318,9005,180333
319,9007,162436
320,9009,854757
321,9011,265206
322,9013,150721
323,9015,116782
324,10000,973764
325,10001,180786
326,10003,558753
327,10005,234225
328,11000,705749
329,11001,705749
330,12000,21477737
331,12001,269043
332,12003,29210
333,12005,174705
334,12007,28201
335,12009,601942
336,12011,1952778
337,12013,14105
338,12015,188910
339,12017,149657
340,12019,219252
341,12021,384902
342,12023,71686
343,12027,38001
344,12029,16826
345,12031,957755
346,12033,318316
347,12035,115081
348,12037,12125
349,12039,45660
350,12041,18582
351,12043,13811
352,12045,13639
353,12047,14428
354,12049,26937
355,12051,42022
356,12053,193920
357,12055,106221
358,12057,1471968
359,12059,19617
360,12061,159923
361,12063,46414
362,12065,14246
363,12067,8422
364,12069,367118
365,12071,770577
366,12073,293582
367,12075,41503
368,12077,8354
369,12079,18493
370,12081,403253
371,12083,365579
372,12085,161000
373,12086,2716940
374,12087,74228
375,12089,88625
376,12091,210738
377,12093,42168
378,12095,1393452
379,12097,375751
380,12099,1496770
381,12101,553947
382,12103,974996
383,12105,724777
384,12107,74521
385,12109,264672
386,12111,328297
387,12113,184313
388,12115,433742
389,12117,471826
390,12119,132420
391,12121,44417
392,12123,21569
393,12125,15237
394,12127,553284
395,12129,33739
396,12131,74071
397,12133,25473
398,13000,10617423
399,13001,18386
400,13003,8165
401,13005,11164
402,13007,3038
403,13009,44890
404,13011,19234
405,13013,83240
406,13015,107738
407,13017,16700
408,13019,19397
409,13021,153159
410,13023,12873
411,13025,19109
412,13027,15457
413,13029,39627
414,13031,79608
415,13033,22383
416,13035,24936
417,13037,6189
418,13039,54666
419,13043,10803
420,13045,119992
421,13047,67580
422,13049,13392
423,13051,289430
424,13053,10907
425,13055,24789
426,13057,258773
427,13059,128331
428,13061,2834
429,13063,292256
430,13065,6618
431,13067,760141
432,13069,43273
433,13071,45600
434,13073,156714
435,13075,17270
436,13077,148509
437,13079,12404
438,13081,22372
439,13083,16116
440,13085,26108
441,13087,26404
442,13089,759297
443,13091,20605
444,13093,13390
445,13095,87956
446,13097,146343
447,13099,10190
448,13101,4006
449,13103,64296
450,13105,19194
451,13107,22646
452,13109,10654
453,13111,26188
454,13113,114421
455,13115,98498
456,13117,244252
457,13119,23349
458,13121,1063937
459,13123,31369
460,13125,2971
461,13127,85292
462,13129,57963
463,13131,24633
464,13133,18324
465,13135,936250
466,13137,45328
