,COUNTY,STATE,CLINTON_COUNTY_VOTES,TRUMP_COUNTY_VOTES,MATCH_ID
0,Autauga,AL,5908,18110,autaugaal
1,Baldwin,AL,18409,72780,baldwinal
2,Barbour,AL,4848,5431,barboural
3,Bibb,AL,1874,6733,bibbal
4,Blount,AL,2150,22808,blountal
5,Bullock,AL,3530,1139,bullockal
6,Butler,AL,3716,4891,butleral
7,Calhoun,AL,13197,32803,calhounal
8,Chambers,AL,5763,7803,chambersal
9,Cherokee,AL,1524,8809,cherokeeal
10,Chilton,AL,2909,15068,chiltonal
11,Choctaw,AL,3109,4102,choctawal
12,Clarke,AL,5712,7109,clarkeal
13,Clay,AL,1234,5230,clayal
14,Cleburne,AL,684,5738,cleburneal
15,Coffee,AL,4194,15825,coffeeal
16,Colbert,AL,7296,16718,colbertal
17,Conecuh,AL,3069,3413,conecuhal
18,Coosa,AL,1780,3376,coosaal
19,Covington,AL,2379,13222,covingtonal
20,Crenshaw,AL,1663,4511,crenshawal
21,Cullman,AL,3730,32734,cullmanal
22,Dale,AL,4408,13798,daleal
23,Dallas,AL,12826,5784,dallasal
24,DeKalb,AL,3682,21779,dekalbal
25,Elmore,AL,8436,27619,elmoreal
26,Escambia,AL,4698,10282,escambiaal
27,Etowah,AL,10350,32132,etowahal
28,Fayette,AL,1358,6705,fayetteal
29,Franklin,AL,2197,9466,franklinal
30,Geneva,AL,1522,9967,genevaal
31,Greene,AL,4006,838,greeneal
32,Hale,AL,4772,3172,haleal
33,Henry,AL,2286,5623,henryal
34,Houston,AL,10547,30567,houstonal
35,Jackson,AL,3663,16643,jacksonal
36,Jefferson,AL,151581,130614,jeffersonal
37,Lamar,AL,1035,5819,lamaral
38,Lauderdale,AL,9877,27735,lauderdaleal
39,Lawrence,AL,3611,10732,lawrenceal
40,Lee,AL,20987,34321,leeal
41,Limestone,AL,9340,28824,limestoneal
42,Lowndes,AL,4882,1751,lowndesal
43,Macon,AL,7237,1394,maconal
44,Madison,AL,62435,89199,madisonal
45,Marengo,AL,5607,5224,marengoal
46,Marion,AL,1432,11273,marional
47,Marshall,AL,4913,29217,marshallal
48,Mobile,AL,68429,91087,mobileal
49,Monroe,AL,4310,5771,monroeal
50,Montgomery,AL,58669,33928,montgomeryal
51,Morgan,AL,11216,37392,morganal
52,Perry,AL,3823,1403,perryal
